Ranks,Scatter Time,Sobel Time,Gather Time
4,19.1334,84.3079,10.3393
9,32.5238,37.6667,31.6663
16,28.9994,21.5845,28.709
25,32.1736,14.7439,32.6243
36,31.4541,11.4973,32.552
49,34.228,7.0066,34.5358
64,33.2785,7.7932,33.103
81,36.1093,7.7997,36.714
