Ranks,Scatter Time,Sobel Time,Gather Time
4,38.9829,86.0777,35.6467
9,63.1918,37.4835,49.1176
16,61.2043,21.4052,47.7697
25,63.4893,17.4111,52.4511
36,60.1782,10.814,49.3922
49,61.7631,8.0653,50.9733
64,60.6025,5.9366,49.2479
81,61.4097,8.114,53.608
